"No","Name","School","Tm","Total","Gm","Avg"
"1","Andrew Bell","Rock Valley College","Var","1068","5","213.6"
"2","Austin Cetwinski","Rock Valley College","Var","1028","5","205.6"
"3","Steven Hebel","Iowa ,University Of","Var","1021","5","204.2"
"4","Alexander Duong","Marian University (WI)","Var","1004","5","200.8"
"5","Ethan Krause","Wisc.-Platteville","Var","998","5","199.6"
"6","Riley Egnoski","Wisc.-Platteville","Var","997","5","199.4"
"7","Clark Bonnewell","Rock Valley College","Var","987","5","197.4"
"8","Nathan Beekman","Viterbo University","Var","958","5","191.6"
"9","Layton Barlow","Wisc.-Milwaukee","Var","956","5","191.2"
"10","Adam Stensrud","Viterbo University","JV1","954","5","190.8"
"11","Christian Bauer","Wisc.-Whitewater","Var","944","5","188.8"
"12","Jake Kilander","Wisc.-Madison","Var","939","5","187.8"
"13","Kaiden Von Schnase","Rock Valley College","JV1","934","5","186.8"
"14","Riley Dehnel","Marian University (WI)","Var","931","5","186.2"
"15","Zachary Benz","College of Lake County","Var","930","5","186"
"15","Solomon Johnson","Rock Valley College","Var","930","5","186"
"17","Logan Egnoski","Wisc.-Oshkosh","Var","929","5","185.8"
"18","Deacan Koback","Wisc.-LaCrosse","Var","928","5","185.6"
"19","Charlie Hunt","Rock Valley College","Var","927","5","185.4"
"20","Tyler Thompson","Rock Valley College","JV1","926","5","185.2"
"21","Vojtech Cisar","Wisc.-Madison","Var","919","5","183.8"
"22","Bryson Randol","Marian University (WI)","Var","911","5","182.2"
"23","Karson Schumacher","Blackhawk Technical College","Var","906","5","181.2"
"24","Jacob Cornell","Wisc.-Oshkosh","JV1","900","5","180"
"24","Colton Kilbreath","Rock Valley College","JV1","900","5","180"
"26","Gage Knutson","Iowa ,University Of","Var","892","5","178.4"
"27","Parker Annis","Marian University (WI)","Var","889","5","177.8"
"27","Brayton Fandrich","Viterbo University","Var","889","5","177.8"
"29","Soren Weatherstone","Viterbo University","JV1","877","5","175.4"
"29","Brady Lauber","Wisc.-Whitewater","Var","877","5","175.4"
"31","Zacharey Cornell","Wisc.-Oshkosh","Var","868","5","173.6"
"32","Nick Keller","Wisc.-Milwaukee","Var","866","5","173.2"
"33","Cody Webb","Wisc.-Eau Claire","Var","860","5","172"
"34","Alex Dahlin","Viterbo University","JV1","857","5","171.4"
"35","Jace Rudolph","Minnesota, Univ. Of - Duluth","Var","848","5","169.6"
"36","Adam Pankow","Winona State University","Var","846","5","169.2"
