"No","Name","School","Tm","Total","Gm","Avg"
"1","Brayton Fandrich","Viterbo University","Var","1050","5","210"
"2","Ethan Andresen","Wisc.-Stout","Var","995","5","199"
"3","Riley Egnoski","Wisc.-Platteville","Var","962","5","192.4"
"4","William Kyles-Werth","Wisc.-Green Bay","Var","926","5","185.2"
"5","Tyler Villeneuve","Wisc.-Platteville","Var","893","5","178.6"
"6","Nathan Beekman","Viterbo University","Var","881","5","176.2"
"7","DYLAN Taylor","Wisc.-Platteville","Var","870","5","174"
"8","Gabriel Durnell","Wisc.-Platteville","JV1","862","5","172.4"
"9","Alex Karman","Wisc.-Platteville","JV2","837","5","167.4"
"10","James Stern","Wisc.-Platteville","JV1","832","5","166.4"
"11","Alexander Beltran","Wisc.-Platteville","JV1","807","5","161.4"
"12","Benjamin Mikolajczak","Wisc.-Platteville","Var","796","5","159.2"
"13","Zachary Thao-Her","Wisc.-Madison","Var","790","5","158"
"14","Nicolai Jenkins","Wisc.-Platteville","JV2","788","5","157.6"
"15","Graham Gasper","Wisc.-Madison","Var","786","5","157.2"
"16","Vojtech Cisar","Wisc.-Madison","Var","777","5","155.4"
"17","Joshua Baumgardt","Wisc.-Platteville","JV1","774","5","154.8"
"17","Alex Grochowski","Wisc.-Stout","Var","774","5","154.8"
"19","Jake Kilander","Wisc.-Madison","Var","756","5","151.2"
"20","Joaquin Herrera","Wisc.-Madison","Var","738","5","147.6"
"21","Lance Gulyash","Wisc.-Stout","Var","733","5","146.6"
"22","Brady Loecher","Wisc.-Platteville","JV2","710","5","142"
"23","Nathan Arias","Viterbo University","Var","691","4","172.75"
"24","Dominic Hutter","Viterbo University","Var","687","4","171.75"
"25","Kaitlin Krueger","Wisc.-Green Bay","Var","670","5","134"
"26","Daniel Zeman","Wisc.-Stout","Var","649","4","162.25"
"27","Elizabeth Wigton","Wisc.-Platteville","JV1","646","5","129.2"
"28","Kody Messersmith","Wisc.-Platteville","JV2","635","5","127"
"29","Dylan Sader","Viterbo University","Var","566","3","188.667"
"30","Hayden Orrell","Wisc.-Green Bay","Var","532","4","133"
"31","Christopher Daley","Wisc.-Platteville","Var","486","3","162"
"32","Timothy Betley","Wisc.-Stout","Var","480","4","120"
"33","Colton Feld","Wisc.-Green Bay","Var","460","4","115"
"34","Coralee Frankard","Wisc.-Green Bay","Var","347","3","115.667"
"35","Lucas Martin","Viterbo University","Var","334","2","167"
"36","Allen Butrymowicz","Wisc.-Green Bay","Var","304","3","101.333"
"37","Lucas Casanta","Viterbo University","Var","294","2","147"
"38","Ethan Krause","Wisc.-Platteville","Var","273","2","136.5"
"39","Michael Weizenegger","Wisc.-Stout","Var","263","2","131.5"
"40","Spencer Schintgen","Wisc.-Green Bay","Var","94","1","94"
