"No","Name","School","Tm","Total","Gm","Avg"
"1","Louis Pisano","Wisc.-Whitewater","Var","1113","5","222.6"
"2","Jaysen Spanbauer","Marian University (WI)","Var","1110","5","222"
"3","Andrew Bell","Rock Valley College","Var","1034","5","206.8"
"3","Aiden Scott","Marian University (WI)","Var","1034","5","206.8"
"5","Logan Egnoski","Wisc.-Oshkosh","Var","1031","5","206.2"
"6","Austin Cetwinski","Rock Valley College","Var","1013","5","202.6"
"7","Nate VanderBeek","Wisc.-Whitewater","Var","1012","5","202.4"
"8","ALEX GLODOWSKI","Marian University (WI)","JV1","1011","5","202.2"
"9","Adam Toetz","Bryant & Stratton College (WI)","Var","1009","5","201.8"
"10","Cody Webb","Wisc.-Eau Claire","Var","1001","5","200.2"
"11","Rylan Voyles","Rock Valley College","JV1","992","5","198.4"
"11","Jack Steger","Wisc.-Whitewater","Var","992","5","198.4"
"13","Brady Lauber","Wisc.-Whitewater","JV1","975","5","195"
"14","Ethan Krause","Wisc.-Platteville","Var","969","5","193.8"
"14","Bryson Randol","Marian University (WI)","JV1","969","5","193.8"
"16","Marcus Borgen","Marian University (WI)","Var","966","5","193.2"
"17","Riley Egnoski","Wisc.-Platteville","Var","964","5","192.8"
"18","Lee McClellan","College of Lake County","Var","961","5","192.2"
"19","Alex Grochowski","Wisc.-Stout","Var","959","5","191.8"
"20","Nathan Arias","Viterbo University","Var","958","5","191.6"
"21","Layton Barlow","Wisc.-Milwaukee","Var","957","5","191.4"
"21","Deacan Koback","Wisc.-LaCrosse","Var","957","5","191.4"
"23","Nicholas Sachs","Wisc.-Whitewater","JV1","947","5","189.4"
"23","Nathan Beekman","Viterbo University","Var","947","5","189.4"
"25","Charlie Hunt","Rock Valley College","Var","937","5","187.4"
"26","Tyler Villeneuve","Wisc.-Platteville","Var","936","5","187.2"
"26","Blake Hansen","Wisc.-Whitewater","JV2","936","5","187.2"
"28","Andrew Plotz","Wisc.-Oshkosh","Var","932","5","186.4"
"29","Mohamed Almulla","Wisc.-Madison","Var","931","5","186.2"
"30","Jake Kilander","Wisc.-Madison","Var","911","5","182.2"
"31","Ben Moczynski","Wisc.-Milwaukee","Var","905","5","181"
"32","Ian Vang","Wisc.-LaCrosse","Var","900","5","180"
"33","Alexander Beltran","Wisc.-Platteville","JV1","897","5","179.4"
"34","Brayton Fandrich","Viterbo University","Var","881","5","176.2"
"35","Sebastian Sandoval","Western Illinois University","Var","879","5","175.8"
"36","Jack Schroeder","Wisc.-Oshkosh","Var","874","5","174.8"
"37","Karson Schumacher","Blackhawk Technical College","Var","873","5","174.6"
"38","Adam Pankow","Winona State University","Var","872","5","174.4"
"39","Shalimar Jacobs","College of Lake County","Var","870","5","174"
"40","James Kruschke","Wisc.-Oshkosh","JV1","869","5","173.8"
"40","Tyler Thompson","Rock Valley College","JV1","869","5","173.8"
"42","Aiden Schmick","Wisc.-LaCrosse","Var","866","5","173.2"
"43","Ryan Mai","Wisc.-Milwaukee","Var","865","5","173"
"44","Riley Dehnel","Marian University (WI)","JV1","860","5","172"
"45","Corbin Vines","Wisc.-LaCrosse","Var","856","5","171.2"
"46","Nick Keller","Wisc.-Milwaukee","Var","855","5","171"
"47","Trevor McGowan","Iowa ,University Of","Var","841","5","168.2"
"48","William Kyles-Werth","Wisc.-Green Bay","Var","840","5","168"
"49","Steven Hebel","Iowa ,University Of","Var","837","5","167.4"
"50","Garrett Clayton","Western Illinois University","Var","836","5","167.2"
