"No","Name","School","Tm","Total","Gm","Avg"
"1","Lucas Casanta","Viterbo University","Var","1064","5","212.8"
"2","Ben Moczynski","Wisc.-Milwaukee","Var","1030","5","206"
"3","Brayton Fandrich","Viterbo University","Var","1017","5","203.4"
"3","Andrew Plotz","Wisc.-Oshkosh","Var","1017","5","203.4"
"5","Gage Knutson","Iowa ,University Of","Var","1002","5","200.4"
"6","Dominic Hutter","Viterbo University","Var","996","5","199.2"
"7","Jeremy Christenson","Univ of Minnesota-Twin Cities","Var","995","5","199"
"8","Jimmey Culbert","Wisc.-Eau Claire","Var","984","5","196.8"
"9","Nathan Beekman","Viterbo University","Var","983","5","196.6"
"9","Ethan Krause","Wisc.-Platteville","Var","983","5","196.6"
"11","Steven Hebel","Iowa ,University Of","Var","982","5","196.4"
"12","Logan Egnoski","Wisc.-Oshkosh","Var","975","5","195"
"13","Louis Schultz","Wisc.-Oshkosh","JV1","971","5","194.2"
"14","Layton Barlow","Wisc.-Milwaukee","Var","966","5","193.2"
"15","Vojtech Cisar","Wisc.-Madison","Var","961","5","192.2"
"16","Cody Webb","Wisc.-Eau Claire","Var","957","5","191.4"
"17","Jake Kilander","Wisc.-Madison","Var","948","5","189.6"
"18","Zacharey Cornell","Wisc.-Oshkosh","Var","946","5","189.2"
"19","William Kyles-Werth","Wisc.-Green Bay","Var","941","5","188.2"
"19","Joaquin Herrera","Wisc.-Madison","Var","941","5","188.2"
"21","James Kruschke","Wisc.-Oshkosh","Var","928","5","185.6"
"22","Austin Smith","Wisc.-Milwaukee","JV1","921","5","184.2"
"23","Mohamed Almulla","Wisc.-Madison","Var","920","5","184"
"24","Hunter Kirby","Kishwaukee College","Var","916","5","183.2"
"25","Tyler Chowanec","Wisc.-Milwaukee","Var","912","5","182.4"
"26","Michael Chelney","Wisc.-Madison","Var","902","5","180.4"
"27","Jackson Bingley","Kishwaukee College","Var","885","5","177"
"28","Cale Rudolph","Univ of Minnesota-Twin Cities","Var","876","5","175.2"
"29","Seth Bailey","Viterbo University","JV1","874","5","174.8"
"30","Hayden Orrell","Wisc.-Green Bay","Var","867","5","173.4"
"31","Gareth Lien","Univ of Minnesota-Twin Cities","Var","857","5","171.4"
"32","Adam Toetz","Bryant & Stratton College (WI)","Var","854","5","170.8"
"33","Jace Rudolph","Minnesota, Univ. Of - Duluth","Var","851","5","170.2"
"34","Jake Ross","Bryant & Stratton College (WI)","Var","840","5","168"
