"No","Name","School","Tm","Total","Gm","Avg"
"1","Graham Gasper","Wisc.-Madison","Var","1036","5","207.2"
"2","David Hart","Ohio State University","Var","1023","5","204.6"
"3","Jacob Stitzer","Penn State University Park","Var","1011","5","202.2"
"4","Holden Whittam","Indiana University","Var","999","5","199.8"
"5","William Gott","Indiana University","Var","979","5","195.8"
"6","William Shepard","Ohio State University","JV1","966","5","193.2"
"7","Brayden Alfrey","Purdue University","Var","962","5","192.4"
"8","Jon Hinds","Purdue University","JV2","955","5","191"
"9","Nicholas Caruso","Ohio State University","Var","945","5","189"
"10","Justin Molander","Indiana University","Var","933","5","186.6"
"11","Alex Jones","Purdue University","JV1","920","5","184"
"12","Brodie Hansen","Purdue University","JV1","918","5","183.6"
"13","Michael Chelney","Wisc.-Madison","Var","911","5","182.2"
"14","Jack Dziabo","Penn State University Park","Var","910","5","182"
"15","Jeremy Christenson","Univ of Minnesota-Twin Cities","Var","907","5","181.4"
"16","Ryan Clinton","Indiana University","Var","904","5","180.8"
"17","Laine Shinokawa","Purdue University","JV1","898","5","179.6"
"18","Cameron Mitchell","Michigan State University","Var","897","5","179.4"
"19","Evan Choi","Nebraska ,University Of","Var","883","5","176.6"
"20","Aiden Cooper","Michigan State University","Var","882","5","176.4"
"21","Ian Kalinowski","Michigan State University","Var","878","5","175.6"
"22","Anthony Palumbo","Rutgers University","Var","874","5","174.8"
"23","Nathan Patton","Michigan State University","Var","854","5","170.8"
"23","Taj Forney","Penn State University Park","Var","854","5","170.8"
"25","Cale Rudolph","Univ of Minnesota-Twin Cities","Var","842","5","168.4"
"26","Owen Strazdas","Nebraska ,University Of","Var","841","5","168.2"
"27","Mason Johnson","Michigan ,University Of","Var","832","5","166.4"
"28","John McEachran","Univ of Minnesota-Twin Cities","Var","818","5","163.6"
"29","Noah Graf","Purdue University","JV2","817","5","163.4"
"30","Logan Krupinski","Purdue University","Var","814","4","203.5"
"31","Asher Salama","Michigan ,University Of","Var","806","5","161.2"
"32","Adam Burger","Michigan ,University Of","Var","792","5","158.4"
"33","Andrew Greve","Indiana University","Var","787","5","157.4"
"34","Braylon Yuhas","Michigan State University","JV1","784","5","156.8"
"35","Joshua Sachs","Purdue University","Var","781","4","195.25"
"36","Michael Baeppler","Ohio State University","JV1","769","4","192.25"
"37","Henry Williams","Michigan State University","JV1","768","5","153.6"
"38","Elliott Wasche","Univ of Minnesota-Twin Cities","Var","751","5","150.2"
"39","Gareth Lien","Univ of Minnesota-Twin Cities","Var","739","5","147.8"
"40","Kyle Goeglein","Purdue University","JV2","725","5","145"
"41","Alvin Jeon","Rutgers University","Var","723","4","180.75"
"42","Vojtech Cisar","Wisc.-Madison","Var","715","4","178.75"
"43","Keegan Day","Michigan State University","JV1","713","5","142.6"
"44","Derek Skinner","Ohio State University","JV1","712","4","178"
"45","Anthony Ghaith","Michigan State University","JV1","711","5","142.2"
"46","Isaac Shek","Ohio State University","JV1","709","4","177.25"
"47","John Francis","Purdue University","Var","704","4","176"
"48","Samuel Colby","Michigan State University","JV1","688","5","137.6"
"49","John Clinton","Ohio State University","Var","687","4","171.75"
"50","Ashlee Murawski","Nebraska ,University Of","Var","680","4","170"
"51","Jake Kilander","Wisc.-Madison","Var","677","4","169.25"
