"No","Name","School","Tm","Total","Gm","Avg"
"1","Dawson Peterson","Wisc.-Whitewater","Var","1233","5","246.6"
"2","Andrew Bell","Rock Valley College","Var","1206","5","241.2"
"3","ALEX GLODOWSKI","Marian University (WI)","JV1","1201","5","240.2"
"4","Jaysen Spanbauer","Marian University (WI)","Var","1170","5","234"
"5","Luke Winter","Wisc.-Whitewater","Var","1164","5","232.8"
"6","Nate VanderBeek","Wisc.-Whitewater","Var","1155","5","231"
"7","Louis Pisano","Wisc.-Whitewater","Var","1149","5","229.8"
"8","Cody Webb","Wisc.-Eau Claire","Var","1144","5","228.8"
"9","Connor Anderson","Wisc.-Whitewater","JV1","1135","5","227"
"10","Benjamin Mikolajczak","Wisc.-Platteville","Var","1126","5","225.2"
"11","Charlie Hunt","Rock Valley College","Var","1111","5","222.2"
"12","Michael Evenson","Wisc.-Whitewater","JV2","1106","5","221.2"
"13","Kody Litzen","Marian University (WI)","Var","1103","5","220.6"
"14","Aiden Scott","Marian University (WI)","Var","1102","5","220.4"
"15","Brady Metzner","Wisc.-Whitewater","JV2","1091","5","218.2"
"16","Nathan Arias","Viterbo University","Var","1079","5","215.8"
"17","Bryson Randol","Marian University (WI)","JV1","1071","5","214.2"
"18","Andrew Dini","Rock Valley College","JV1","1069","5","213.8"
"19","Dominic Hutter","Viterbo University","Var","1061","5","212.2"
"20","Brayton Fandrich","Viterbo University","Var","1053","5","210.6"
"21","Lee McClellan","College of Lake County","Var","1052","5","210.4"
"22","Brady Lauber","Wisc.-Whitewater","JV1","1050","5","210"
"23","Zachary Benz","College of Lake County","Var","1035","5","207"
"24","Eliot Roethle","Bryant & Stratton College (WI)","Var","1031","5","206.2"
"25","Deacan Koback","Wisc.-LaCrosse","Var","1028","5","205.6"
"26","Zachary Thao-Her","Wisc.-Madison","Var","1017","5","203.4"
"27","Layton Barlow","Wisc.-Milwaukee","Var","1005","5","201"
"27","Nathan Beekman","Viterbo University","Var","1005","5","201"
"29","Karson Schumacher","Blackhawk Technical College","Var","998","5","199.6"
"29","Gage Knutson","Iowa ,University Of","Var","998","5","199.6"
"31","Tyler Thompson","Rock Valley College","JV1","985","5","197"
"32","Matthew Orlow","Wisc.-Madison","Var","984","5","196.8"
"33","Riley Egnoski","Wisc.-Platteville","Var","982","5","196.4"
"34","Jacob Cornell","Wisc.-Oshkosh","Var","969","5","193.8"
"35","Parker Annis","Marian University (WI)","JV1","959","5","191.8"
"36","Nick Keller","Wisc.-Milwaukee","Var","958","5","191.6"
"37","Joshua Opiola","Wisc.-LaCrosse","Var","949","5","189.8"
"38","Jack Schroeder","Wisc.-Oshkosh","Var","946","5","189.2"
"39","Ian Vang","Wisc.-LaCrosse","Var","944","5","188.8"
"40","Parker Meifert","Bryant & Stratton College (WI)","Var","940","5","188"
"40","Corbin Vines","Wisc.-LaCrosse","Var","940","5","188"
"42","Vojtech Cisar","Wisc.-Madison","Var","936","5","187.2"
"43","Brandon Kantola","Viterbo University","JV1","927","5","185.4"
"43","Jake Kilander","Wisc.-Madison","Var","927","5","185.4"
"45","Riley Dehnel","Marian University (WI)","JV1","921","5","184.2"
"46","Ryan Mai","Wisc.-Milwaukee","Var","913","5","182.6"
"47","Alex Karman","Wisc.-Platteville","JV1","911","5","182.2"
"48","Adam Pankow","Winona State University","Var","903","5","180.6"
"49","Tyler Chowanec","Wisc.-Milwaukee","Var","902","5","180.4"
"49","Louis Schultz","Wisc.-Oshkosh","JV1","902","5","180.4"
"51","Graham Gasper","Wisc.-Madison","Var","901","5","180.2"
"52","Alex Dahlin","Viterbo University","JV1","899","5","179.8"
"53","Jace Rudolph","Minnesota, Univ. Of - Duluth","Var","896","5","179.2"
"53","Lucas Martin","Viterbo University","JV1","896","5","179.2"
"55","Noah Poston","Winona State University","Var","880","5","176"
"55","Hunter Kirby","Kishwaukee College","Var","880","5","176"
"57","William Kyles-Werth","Wisc.-Green Bay","Var","876","5","175.2"
"58","Ethan Gandhi","Minnesota, Univ. Of - Duluth","Var","870","5","174"
"59","Alexander Beltran","Wisc.-Platteville","Var","867","4","216.75"
"60","Ethan Smice","Highland Community College","Var","864","5","172.8"
"61","Thomas Booker","Kishwaukee College","Var","862","5","172.4"
"62","Nicholas Sachs","Wisc.-Whitewater","JV2","857","4","214.25"
"63","Nicolai Jenkins","Wisc.-Platteville","JV1","855","5","171"
"64","Trevor Larson","Blackhawk Technical College","Var","849","5","169.8"
"65","Matthew Meyer","Minnesota, Univ. Of - Duluth","Var","845","5","169"
"66","William Grenier","College of Lake County","Var","843","5","168.6"
"67","Alex Grochowski","Wisc.-Stout","Var","839","5","167.8"
"68","Lance Gulyash","Wisc.-Stout","Var","837","5","167.4"
"69","Lucas Casanta","Viterbo University","Var","836","4","209"
"69","Ryan Hallgren","College of Lake County","Var","836","5","167.2"
"71","Aiden Watts","Rock Valley College","Var","835","4","208.75"
"72","Logan Moore","Wisc.-Whitewater","JV1","834","4","208.5"
"73","Aiden Schmick","Wisc.-LaCrosse","Var","831","5","166.2"
"74","Caden Schmitting","Viterbo University","JV1","830","5","166"
"75","Alexander Duong","Marian University (WI)","Var","829","4","207.25"
"76","Hunter Pankow","Wisc.-Whitewater","JV1","825","4","206.25"
"77","Daniel Zeman","Wisc.-Stout","Var","821","5","164.2"
"77","Jake Ross","Bryant & Stratton College (WI)","Var","821","5","164.2"
"79","Kendra Sillars","Wisc.-Milwaukee","JV1","816","5","163.2"
"80","Payton Davis","Wisc.-Whitewater","Var","809","4","202.25"
"81","Jack Steger","Wisc.-Whitewater","JV2","805","4","201.25"
"82","Clark Bonnewell","Rock Valley College","Var","797","4","199.25"
"83","Kaitlin Krueger","Wisc.-Green Bay","Var","792","5","158.4"
"84","Joey Stanish","Wisc.-Oshkosh","JV1","777","5","155.4"
"85","Seth Bailey","Viterbo University","JV1","774","5","154.8"
"85","Jacob Wiater","Wisc.-Oshkosh","JV1","774","5","154.8"
"87","Christopher Daley","Wisc.-Platteville","Var","772","4","193"
"88","Ethan Andresen","Wisc.-Stout","Var","769","5","153.8"
"89","Rylan Voyles","Rock Valley College","JV1","762","4","190.5"
"90","Jaeyoung Cho","Wisc.-Milwaukee","JV1","760","5","152"
"91","Christian Nelson","Iowa ,University Of","Var","753","5","150.6"
"92","Brenden Stanley","Kishwaukee College","Var","751","4","187.75"
"92","Colton Feld","Wisc.-Green Bay","Var","751","5","150.2"
"94","Caleb Dirkx","Rock Valley College","Var","744","4","186"
"95","Kaiden Von Schnase","Rock Valley College","JV1","742","4","185.5"
"96","Aj Anderson","Highland Community College","Var","741","5","148.2"
"96","Zacharey Cornell","Wisc.-Oshkosh","Var","741","4","185.25"
"98","Logan Egnoski","Wisc.-Oshkosh","Var","740","4","185"
"99","Leo Link","Wisc.-Milwaukee","JV1","739","5","147.8"
"100","Jackson Bingley","Kishwaukee College","Var","735","4","183.75"
"101","Hunter Heinzen","Wisc.-Eau Claire","Var","727","5","145.4"
"102","Jaden Berkhalter","Wisc.-Milwaukee","JV1","726","5","145.2"
"103","Carsen Dulak","Bryant & Stratton College (WI)","Var","718","5","143.6"
