"No","Name","School","Tm","Total","Gm","Avg"
"1","Brenden Stanley","Kishwaukee College","Var","1220","5","244"
"2","Kody Litzen","Marian University (WI)","Var","1116","5","223.2"
"3","Austin Cetwinski","Rock Valley College","Var","1114","5","222.8"
"4","Michael Evenson","Wisc.-Whitewater","JV2","1100","5","220"
"5","Solomon Johnson","Rock Valley College","JV1","1087","5","217.4"
"6","Brady Lauber","Wisc.-Whitewater","JV1","1085","5","217"
"7","Dawson Peterson","Wisc.-Whitewater","Var","1081","5","216.2"
"8","Nicholas Sachs","Wisc.-Whitewater","Var","1070","5","214"
"9","Nathan Beekman","Viterbo University","Var","1066","5","213.2"
"10","Aiden Scott","Marian University (WI)","Var","1050","5","210"
"11","Dominic Hutter","Viterbo University","Var","1048","5","209.6"
"12","Jack Schroeder","Wisc.-Oshkosh","Var","1038","5","207.6"
"13","Connor Anderson","Wisc.-Whitewater","JV1","1037","5","207.4"
"14","Thomas Booker","Kishwaukee College","Var","1034","5","206.8"
"15","Louis Pisano","Wisc.-Whitewater","Var","1026","5","205.2"
"16","Deacan Koback","Wisc.-LaCrosse","Var","1025","5","205"
"17","Jaysen Spanbauer","Marian University (WI)","Var","1021","5","204.2"
"18","Marcus Borgen","Marian University (WI)","Var","1009","5","201.8"
"19","Brayton Fandrich","Viterbo University","Var","1007","5","201.4"
"20","Luke Winter","Wisc.-Whitewater","Var","1000","5","200"
"21","Cody Webb","Wisc.-Eau Claire","Var","997","5","199.4"
"22","Ben Moczynski","Wisc.-Milwaukee","Var","993","5","198.6"
"23","Nick Keller","Wisc.-Milwaukee","Var","978","5","195.6"
"24","Lee McClellan","College of Lake County","Var","969","5","193.8"
"25","Alex Dahlin","Viterbo University","JV1","966","5","193.2"
"26","Brandon Kantola","Viterbo University","JV1","963","5","192.6"
"27","Austin Williamson","Wisc.-Milwaukee","Var","962","5","192.4"
"28","Jack Steger","Wisc.-Whitewater","JV1","954","5","190.8"
"29","Adam Pankow","Winona State University","Var","948","5","189.6"
"30","Jackson Bingley","Kishwaukee College","Var","946","5","189.2"
"31","Graham Gasper","Wisc.-Madison","Var","945","5","189"
"32","William Kyles-Werth","Wisc.-Green Bay","Var","944","5","188.8"
"33","Sebastian Sandoval","Western Illinois University","Var","939","5","187.8"
"34","Louis Schultz","Wisc.-Oshkosh","JV1","937","5","187.4"
"35","Caden Schmitting","Viterbo University","JV1","935","5","187"
