"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Rock Valley College","4940","3068","8.2","976.585","0"
"2","Viterbo University","4623","2980","8.2","927.195","-405"
"3","Wisc.-Platteville","4613","2952","8.2","922.561","-443"
"4","Wisc.-Whitewater","4491","2915","8.2","903.171","-602"
"5","Marian University (WI)","4606","2735","8.2","895.244","-667"
"6","Wisc.-Milwaukee","4239","2690","8.2","845","-1079"
"7","Wisc.-Oshkosh","4184","2730","8.2","843.171","-1094"
"8","Wisc.-Madison","4204","2678","8.2","839.268","-1126"
"9","Iowa ,University Of","4179","2466","8.2","810.366","-1363"
"10","Wisc.-Stout","3795","2570","8.2","776.22","-1643"
"11","Wisc.-LaCrosse","3889","2474","8.2","775.976","-1645"
"12","College of Lake County","3642","2648","8.2","767.073","-1718"
"13","Wisc.-Eau Claire","3776","2480","8.2","762.927","-1752"
"14","Blackhawk Technical College","3815","2394","8.2","757.195","-1799"
"15","Minnesota, Univ. Of - Duluth","3691","2315","8.2","732.439","-2002"
"16","Minnesota State University-Mankato","3529","2302","8.2","711.098","-2177"
"17","Western Illinois University","3374","2263","8.2","687.439","-2371"
"18","Wisc.-Green Bay","3366","2249","8.2","684.756","-2393"
"19","Winona State University","3384","2099","8.2","668.659","-2525"
"20","Highland Community College","2848","1963","8.2","586.707","-3197"
