"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Marian University (WI)","4867","3098","8.2","971.341","0"
"2","Wisc.-Whitewater","4941","3018","8.2","970.61","-6"
"3","Rock Valley College","4854","3012","8.2","959.268","-99"
"4","Viterbo University","4513","3064","8.2","924.024","-388"
"5","Wisc.-Oshkosh","4432","2880","8.2","891.707","-653"
"6","Wisc.-Platteville","4557","2690","8.2","883.78","-718"
"7","Wisc.-Milwaukee","4416","2725","8.2","870.854","-824"
"8","Wisc.-LaCrosse","4409","2700","8.2","866.951","-856"
"9","College of Lake County","4118","2637","8.2","823.78","-1210"
"10","Wisc.-Madison","4086","2664","8.2","823.171","-1215"
"11","Wisc.-Stout","4065","2530","8.2","804.268","-1370"
"12","Blackhawk Technical College","3985","2425","8.2","781.707","-1555"
"13","Bryant & Stratton College (WI)","3867","2385","8.2","762.439","-1713"
"14","Wisc.-Green Bay","3441","2197","8.2","687.561","-2327"
"15","Minnesota State University-Mankato","3397","2144","8.2","675.732","-2424"
"16","Western Illinois University","3391","2115","8.2","671.463","-2459"
"17","Iowa ,University Of","3307","1985","7.2","735","-2673"
"18","Highland Community College","3168","2043","8.2","635.488","-2754"
"19","Wisc.-Eau Claire","3163","1794","7.2","688.472","-3008"
"20","Winona State University","2775","1738","7.2","626.806","-3452"
