"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Wisc.-Whitewater","5731","3569","8.2","1134.146","0"
"2","Marian University (WI)","5388","3502","8.2","1084.146","-410"
"3","Rock Valley College","5257","3275","8.2","1040.488","-768"
"4","Viterbo University","5199","3196","8.2","1023.78","-905"
"5","Wisc.-Platteville","4929","3053","8.2","973.415","-1318"
"6","Wisc.-Madison","4765","3130","8.2","962.805","-1405"
"7","Wisc.-Oshkosh","4579","3247","8.2","954.39","-1474"
"8","Wisc.-Milwaukee","4658","3067","8.2","942.073","-1575"
"9","College of Lake County","4610","3078","8.2","937.561","-1612"
"10","Wisc.-LaCrosse","4692","2832","8.2","917.561","-1776"
"11","Kishwaukee College","4457","2774","8.2","881.829","-2069"
"12","Blackhawk Technical College","4241","2683","8.2","844.39","-2376"
"13","Minnesota, Univ. Of - Duluth","4155","2621","8.2","826.341","-2524"
"14","Bryant & Stratton College (WI)","4199","2551","8.2","823.171","-2550"
"15","Western Illinois University","3736","2605","8.2","773.293","-2959"
"16","Iowa ,University Of","3287","2563","7.2","812.5","-3450"
"17","Wisc.-Green Bay","3246","2432","7.6","747.105","-3622"
"18","Winona State University","2855","2680","6.6","838.636","-3765"
"19","Wisc.-Stout","3266","1990","7.2","730","-4044"
"20","Highland Community College","2903","2318","7.2","725.139","-4079"
"21","Wisc.-Eau Claire","1871","0","2","935.5","-7429"
