"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Viterbo University","4964","3078","8.2","980.732","0"
"2","Wisc.-Milwaukee","4460","3060","8.2","917.073","-522"
"3","Wisc.-Madison","4672","2815","8.2","913.049","-555"
"4","Wisc.-Oshkosh","4645","2821","8.2","910.488","-576"
"5","Wisc.-Platteville","4492","2865","8.2","897.195","-685"
"6","Univ of Minnesota-Twin Cities","4364","2779","8.2","871.098","-899"
"7","Kishwaukee College","4167","2625","8.2","828.293","-1250"
"8","Iowa ,University Of","4111","2677","8.2","827.805","-1254"
"9","Wisc.-Eau Claire","4157","2617","8.2","826.098","-1268"
"10","Minnesota, Univ. Of - Duluth","4137","2536","8.2","813.78","-1369"
"11","Wisc.-Green Bay","3942","2518","8.2","787.805","-1582"
"12","Bryant & Stratton College (WI)","3292","1925","7.2","724.583","-2825"
