"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Ohio State University","4604","0","5","920.8","0"
"2","Indiana University","4602","0","5","920.4","-2"
"3","Purdue University","4589","0","5","917.8","-15"
"4","Wisc.-Madison","4491","0","5","898.2","-113"
"5","Penn State University Park","4466","0","5","893.2","-138"
"6","Michigan State University","4292","0","5","858.4","-312"
"7","Nebraska ,University Of","4256","0","5","851.2","-348"
"8","Rutgers University","4058","0","5","811.6","-546"
"9","Univ of Minnesota-Twin Cities","4057","0","5","811.4","-547"
"10","Michigan ,University Of","3691","0","5","738.2","-913"
