"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Wisc.-Whitewater","5127","3347","8.2","1033.415","0"
"2","Marian University (WI)","5097","3364","8.2","1031.829","-13"
"3","Rock Valley College","5276","3153","8.2","1027.927","-45"
"4","Viterbo University","4899","3141","8.2","980.488","-434"
"5","Wisc.-Milwaukee","4751","3190","8.2","968.415","-533"
"6","Kishwaukee College","4911","2946","8.2","958.171","-617"
"7","Wisc.-Oshkosh","4743","3047","8.2","950","-684"
"8","Wisc.-Platteville","4479","3266","8.2","944.512","-729"
"9","College of Lake County","4518","2923","8.2","907.439","-1033"
"10","Wisc.-Madison","4338","2863","8.2","878.171","-1273"
"11","Iowa ,University Of","4219","2911","8.2","869.512","-1344"
"12","Wisc.-LaCrosse","4281","2810","8.2","864.756","-1383"
"13","Minnesota, Univ. Of - Duluth","4221","2568","8.2","827.927","-1685"
"14","Blackhawk Technical College","3915","2572","8.2","791.098","-1987"
"15","Western Illinois University","4011","2284","8.2","767.683","-2179"
"16","Wisc.-Green Bay","3302","2213","7.6","725.658","-2959"
"17","Wisc.-Stout","3209","1942","7.2","715.417","-3323"
"18","Wisc.-Eau Claire","3209","1879","7.2","706.667","-3386"
"19","Winona State University","3025","1986","7.2","695.972","-3463"
"20","Minnesota State University-Mankato","2999","1854","7.2","674.028","-3621"
