"No","Name","School","Tm","Total","Gm","Avg"
"1","Hailey Stadler","Wisc.-Oshkosh","Var","885","5","177"
"2","Emily Newbauer","Viterbo University","Var","871","5","174.2"
"3","Neelah Vandeberg","Rockford University","Var","864","5","172.8"
"4","Juliana Bergman","Wisc.-Madison","Var","859","5","171.8"
"5","Stephanie Lo","Wisc.-Madison","Var","826","5","165.2"
"6","Alondra Chavez","Wisc.-Madison","Var","813","5","162.6"
"7","Cassidy Vincent","Rock Valley College","Var","806","5","161.2"
"8","Theadosia Laffin","Viterbo University","Var","798","5","159.6"
"9","Samantha Brown","Wisc.-Eau Claire","Var","789","5","157.8"
"10","Alyssa Newbauer","Viterbo University","Var","788","5","157.6"
"11","Fallon Perry","Rockford University","Var","786","5","157.2"
"12","Courtney Keller","Viterbo University","Var","781","5","156.2"
"13","Alyssa Schertz","Wisc.-Oshkosh","Var","780","5","156"
"14","Sakinah Thomas","Marian University (WI)","Var","778","5","155.6"
"15","Mallory Davis","Iowa ,University Of","Var","772","5","154.4"
"16","Melanie Engelking","College of Lake County","Var","762","5","152.4"
"17","Alexis Aumann","Rock Valley College","Var","753","5","150.6"
"18","Hailee Wendel","Iowa ,University Of","Var","751","5","150.2"
"19","Abbigail Oldenhoff","Marian University (WI)","Var","750","5","150"
"20","Ashley Kozel","Wisc.-Oshkosh","Var","740","5","148"
"21","Ashley Harkey","Rockford University","Var","737","5","147.4"
"22","Bailey Anderson","Rock Valley College","Var","726","5","145.2"
"23","Janiah Alphonse","Rockford University","Var","723","5","144.6"
"24","Eliza Guarnaccia","Rock Valley College","Var","722","5","144.4"
"25","Kylie Sullivan","Marian University (WI)","Var","720","5","144"
"26","Kylee Noack","Wisc.-Eau Claire","Var","703","5","140.6"
"27","Savanna Lehman","College of Lake County","Var","683","5","136.6"
"28","Juliet Kile-Wilson","Iowa ,University Of","Var","678","5","135.6"
"29","Cierra Bollinger","Viterbo University","Var","635","5","127"
"30","Lillian Morin","College of Lake County","Var","629","5","125.8"
"30","Nyla Duzon","Wisc.-Madison","Var","629","4","157.25"
"32","Anika Jain","Iowa ,University Of","Var","619","5","123.8"
"33","Kennide Handy","Rockford University","Var","616","5","123.2"
"34","Chloe Andersen","Marian University (WI)","Var","601","4","150.25"
"35","Sierra Voss","Wisc.-Eau Claire","Var","593","5","118.6"
"36","Beverly Bloch","Wisc.-Madison","Var","577","4","144.25"
"37","Iizabella Nievez","College of Lake County","Var","549","5","109.8"
"38","Adeline Meyers","Marian University (WI)","Var","514","4","128.5"
"39","Mia Torres","Wisc.-Oshkosh","Var","508","4","127"
"40","Emily Holmes","Wisc.-Eau Claire","Var","501","5","100.2"
"41","Darby Schnell","Iowa ,University Of","Var","443","5","88.6"
"42","Izabella SearVogel","Wisc.-Oshkosh","Var","384","3","128"
"43","Shaelyn Kempainen","Wisc.-Oshkosh","Var","345","3","115"
"44","Makenna Koyen","Marian University (WI)","Var","268","2","134"
"45","Emily Dobberfuhl","Wisc.-Madison","Var","224","2","112"
