"No","Name","School","Tm","Total","Gm","Avg"
"1","Emily Newbauer","Viterbo University","Var","1032","5","206.4"
"2","Elizabeth Vanderhei","Wisc.-Whitewater","Var","951","5","190.2"
"3","Brooke Bandli","Wisc.-Eau Claire","Var","934","5","186.8"
"3","Alyssa Newbauer","Viterbo University","Var","934","5","186.8"
"5","Katie Bialke","Marian University (WI)","Var","929","5","185.8"
"6","Delanie Vogt","Marian University (WI)","Var","908","5","181.6"
"7","Courtney Keller","Viterbo University","Var","881","5","176.2"
"8","Cassidy Vincent","Rock Valley College","Var","879","5","175.8"
"9","Ashley Harkey","Rockford University","Var","859","5","171.8"
"10","Neelah Vandeberg","Rockford University","Var","857","5","171.4"
"11","Alexis Aumann","Rock Valley College","Var","849","5","169.8"
"12","Beverly Bloch","Wisc.-Madison","Var","845","5","169"
"13","Bailey Anderson","Rock Valley College","Var","829","5","165.8"
"14","Chloe Andersen","Marian University (WI)","JV1","827","5","165.4"
"15","Melanie Engelking","College of Lake County","Var","820","5","164"
"15","Alyssa Schertz","Wisc.-Oshkosh","Var","820","5","164"
"17","Savanna Lehman","College of Lake County","Var","802","5","160.4"
"18","Rebecca Hunter","Wisc.-Eau Claire","Var","801","5","160.2"
"19","Savana Larsen","Wisc.-Whitewater","Var","797","5","159.4"
"20","Samantha Brown","Wisc.-Eau Claire","Var","796","5","159.2"
"21","Ashley Kozel","Wisc.-Oshkosh","Var","792","5","158.4"
"22","Nyla Duzon","Wisc.-Madison","Var","783","5","156.6"
"23","Cailey Scanlon","Wisc.-Whitewater","Var","782","5","156.4"
"24","Stephanie Lo","Wisc.-Madison","Var","768","5","153.6"
"25","Theadosia Laffin","Viterbo University","Var","766","5","153.2"
"26","Alondra Chavez","Wisc.-Madison","Var","763","5","152.6"
"27","Grace Lehmann","Wisc.-Whitewater","Var","752","5","150.4"
"28","Fallon Perry","Rockford University","Var","751","5","150.2"
"29","Juliana Bergman","Wisc.-Madison","Var","749","5","149.8"
"30","Janiah Alphonse","Rockford University","Var","745","5","149"
"31","Mia Torres","Wisc.-Oshkosh","Var","722","5","144.4"
"32","Eliza Guarnaccia","Rock Valley College","Var","721","5","144.2"
"33","Kennedy Kummerow","Wisc.-Whitewater","Var","716","5","143.2"
"34","Izabella SearVogel","Wisc.-Oshkosh","Var","713","5","142.6"
"35","Shaelyn Kempainen","Wisc.-Oshkosh","Var","712","5","142.4"
"36","Juliet Kile-Wilson","Iowa ,University Of","Var","707","5","141.4"
"37","Kaitlyn Kesler","Marian University (WI)","Var","691","4","172.75"
"37","Lillian Morin","College of Lake County","Var","691","5","138.2"
"39","Madison Carriveau","Marian University (WI)","Var","688","4","172"
"40","Anika Jain","Iowa ,University Of","Var","672","5","134.4"
"41","Hailee Wendel","Iowa ,University Of","Var","665","5","133"
"42","Adeline Meyers","Marian University (WI)","JV1","627","4","156.75"
"43","Kylie Sullivan","Marian University (WI)","JV1","621","4","155.25"
"44","Sierra Voss","Wisc.-Eau Claire","Var","585","5","117"
"45","Cierra Bollinger","Viterbo University","Var","575","5","115"
"46","Darby Schnell","Iowa ,University Of","Var","566","5","113.2"
"47","Kennide Handy","Rockford University","Var","547","5","109.4"
"48","Elana Rimer","Marian University (WI)","Var","539","3","179.667"
"49","Zoe Friedline","Iowa ,University Of","Var","530","5","106"
"50","Emily Holmes","Wisc.-Eau Claire","Var","528","5","105.6"
"51","Sakinah Thomas","Marian University (WI)","JV1","496","3","165.333"
"52","Abbigail Oldenhoff","Marian University (WI)","JV1","467","3","155.667"
"53","Iizabella Nievez","College of Lake County","Var","444","5","88.8"
"54","Kylie Junak","Marian University (WI)","Var","310","2","155"
"55","Brianna Clemons","Marian University (WI)","Var","309","2","154.5"
"56","Makenna Koyen","Marian University (WI)","JV1","297","2","148.5"
"57","Morgan Hietpas","Marian University (WI)","JV1","268","2","134"
"58","Bella Roen","Marian University (WI)","JV1","257","2","128.5"
