"No","Name","School","Tm","Total","Gm","Avg"
"1","Stephanie Lo","Wisc.-Madison","Var","993","5","198.6"
"2","Ashley Harkey","Rockford University","Var","900","5","180"
"3","Emily Newbauer","Viterbo University","Var","893","5","178.6"
"4","Theadosia Laffin","Viterbo University","Var","889","5","177.8"
"5","Ashley Kozel","Wisc.-Oshkosh","Var","880","5","176"
"6","Abbigail Oldenhoff","Marian University (WI)","Var","879","5","175.8"
"7","Alyssa Newbauer","Viterbo University","Var","852","5","170.4"
"7","Beverly Bloch","Wisc.-Madison","Var","852","5","170.4"
"9","Juliana Bergman","Wisc.-Madison","Var","825","5","165"
"10","Alyssa Schertz","Wisc.-Oshkosh","Var","818","5","163.6"
"11","Samantha Brown","Wisc.-Eau Claire","Var","817","5","163.4"
"12","Hailee Wendel","Iowa ,University Of","Var","811","5","162.2"
"13","Juliet Kile-Wilson","Iowa ,University Of","Var","810","5","162"
"14","Fallon Perry","Rockford University","Var","809","5","161.8"
"15","Brooklyn Kummerow","Edgewood University","Var","795","5","159"
"16","Neelah Vandeberg","Rockford University","Var","788","5","157.6"
"17","Izabella SearVogel","Wisc.-Oshkosh","Var","764","5","152.8"
"18","Brooke Bandli","Wisc.-Eau Claire","Var","758","5","151.6"
"19","Courtney Keller","Viterbo University","Var","752","5","150.4"
"19","Mia Torres","Wisc.-Oshkosh","Var","752","5","150.4"
"21","Nyla Duzon","Wisc.-Madison","Var","727","5","145.4"
"22","Janiah Alphonse","Rockford University","Var","726","5","145.2"
"23","Alondra Chavez","Wisc.-Madison","Var","725","5","145"
"24","Kylee Noack","Wisc.-Eau Claire","Var","724","5","144.8"
"25","Kennide Handy","Rockford University","Var","707","5","141.4"
"26","Sierra Voss","Wisc.-Eau Claire","Var","669","5","133.8"
"27","Cierra Bollinger","Viterbo University","Var","668","5","133.6"
"28","Anika Jain","Iowa ,University Of","Var","654","5","130.8"
"29","Shaelyn Kempainen","Wisc.-Oshkosh","Var","619","5","123.8"
"29","Isabella Hall","Edgewood University","Var","619","5","123.8"
"31","Bella Roen","Marian University (WI)","Var","612","4","153"
"32","Zoe Friedline","Iowa ,University Of","Var","604","5","120.8"
"33","Adeline Meyers","Marian University (WI)","Var","590","4","147.5"
"34","Allison Foley","Edgewood University","Var","546","5","109.2"
"35","Emily Holmes","Wisc.-Eau Claire","Var","539","5","107.8"
"36","Darby Schnell","Iowa ,University Of","Var","534","5","106.8"
"37","Lindsey Klunder","Edgewood University","Var","526","5","105.2"
"38","Morgan Hietpas","Marian University (WI)","Var","518","3","172.667"
"39","Adrianna Potter","Edgewood University","Var","442","5","88.4"
"40","Chloe Andersen","Marian University (WI)","Var","439","3","146.333"
"41","Makenna Koyen","Marian University (WI)","Var","320","2","160"
"42","Sakinah Thomas","Marian University (WI)","Var","281","2","140.5"
"43","Kylie Sullivan","Marian University (WI)","Var","271","2","135.5"
