"No","Name","School","Tm","Total","Gm","Avg"
"1","Neelah Vandeberg","Rockford University","Var","975","5","195"
"1","Emma Johnson","Wisc.-Whitewater","Var","975","5","195"
"3","Emily Newbauer","Viterbo University","Var","931","5","186.2"
"4","Juliana Bergman","Wisc.-Madison","Var","911","5","182.2"
"5","Samantha Brown","Wisc.-Eau Claire","Var","903","5","180.6"
"6","Stephanie Lo","Wisc.-Madison","Var","899","5","179.8"
"7","Morgan Hietpas","Marian University (WI)","Var","898","5","179.6"
"8","Cassidy Vincent","Rock Valley College","Var","890","5","178"
"9","Kylie Junak","Marian University (WI)","Var","880","5","176"
"9","Savana Larsen","Wisc.-Whitewater","Var","880","5","176"
"11","Ashley Harkey","Rockford University","Var","867","5","173.4"
"11","Melanie Engelking","College of Lake County","Var","867","5","173.4"
"13","Ashley Kozel","Wisc.-Oshkosh","Var","864","5","172.8"
"14","Courtney Keller","Viterbo University","Var","861","5","172.2"
"15","Cailey Scanlon","Wisc.-Whitewater","Var","859","5","171.8"
"16","Alondra Chavez","Wisc.-Madison","Var","850","5","170"
"16","Sakinah Thomas","Marian University (WI)","Var","850","5","170"
"18","Fallon Perry","Rockford University","Var","849","5","169.8"
"19","Grace Lehmann","Wisc.-Whitewater","Var","833","5","166.6"
"20","Alyssa Newbauer","Viterbo University","Var","823","5","164.6"
"21","Rebecca Hunter","Wisc.-Eau Claire","Var","818","5","163.6"
"22","Janiah Alphonse","Rockford University","Var","805","5","161"
"23","Alyssa Schertz","Wisc.-Oshkosh","Var","804","5","160.8"
"24","Savanna Lehman","College of Lake County","Var","784","5","156.8"
"25","Bailey Anderson","Rock Valley College","Var","778","5","155.6"
"26","Lillian Morin","College of Lake County","Var","775","5","155"
"27","Kylee Noack","Wisc.-Eau Claire","Var","766","5","153.2"
"28","Nyla Duzon","Wisc.-Madison","Var","761","5","152.2"
"29","Theadosia Laffin","Viterbo University","Var","747","5","149.4"
"30","Hailee Wendel","Iowa ,University Of","Var","738","5","147.6"
"31","Mia Torres","Wisc.-Oshkosh","Var","736","5","147.2"
"32","Eliza Guarnaccia","Rock Valley College","Var","721","5","144.2"
"33","Sierra Voss","Wisc.-Eau Claire","Var","687","5","137.4"
"34","Cierra Bollinger","Viterbo University","Var","667","5","133.4"
"34","Shaelyn Kempainen","Wisc.-Oshkosh","Var","667","5","133.4"
"36","Emily Holmes","Wisc.-Eau Claire","Var","643","5","128.6"
"37","Anika Jain","Iowa ,University Of","Var","632","5","126.4"
"38","Nichelle Hunt","Rockford University","Var","604","5","120.8"
"39","Chloe Andersen","Marian University (WI)","Var","596","4","149"
"40","Iizabella Nievez","College of Lake County","Var","572","5","114.4"
"41","Jacqueline Knowles","Wisc.-Whitewater","Var","476","3","158.667"
"42","Bella Roen","Marian University (WI)","Var","460","3","153.333"
"43","Kylie Sullivan","Marian University (WI)","Var","427","3","142.333"
"44","Kennedy Kummerow","Wisc.-Whitewater","Var","415","2","207.5"
