"No","Name","School","Tm","Total","Gm","Avg"
"1","Delanie Vogt","Marian University (WI)","Var","1017","5","203.4"
"2","Emily Newbauer","Viterbo University","Var","964","5","192.8"
"3","Elana Rimer","Marian University (WI)","Var","963","5","192.6"
"4","Alyssa Newbauer","Viterbo University","Var","940","5","188"
"4","Jacqueline Knowles","Wisc.-Whitewater","Var","940","5","188"
"6","Sakinah Thomas","Marian University (WI)","JV1","935","5","187"
"7","Samantha Brown","Wisc.-Eau Claire","Var","923","5","184.6"
"8","Alondra Chavez","Wisc.-Madison","Var","918","5","183.6"
"9","Brooke Bandli","Wisc.-Eau Claire","Var","912","5","182.4"
"10","Bailey Anderson","Rock Valley College","Var","906","5","181.2"
"11","Juliana Bergman","Wisc.-Madison","Var","903","5","180.6"
"11","Cassidy Vincent","Rock Valley College","Var","903","5","180.6"
"13","Stephanie Lo","Wisc.-Madison","Var","891","5","178.2"
"14","Bella Roen","Marian University (WI)","JV1","877","5","175.4"
"15","Peyton Mezo","College of Lake County","Var","871","5","174.2"
"16","Ashley Harkey","Rockford University","Var","859","5","171.8"
"17","Courtney Keller","Viterbo University","Var","855","5","171"
"18","Theadosia Laffin","Viterbo University","Var","844","5","168.8"
"19","Leah Pollen","Wisc.-Whitewater","Var","842","5","168.4"
"20","Beverly Bloch","Wisc.-Madison","Var","837","5","167.4"
"21","Abbigail Oldenhoff","Marian University (WI)","JV1","795","5","159"
"22","Ashley Kozel","Wisc.-Oshkosh","Var","789","5","157.8"
"23","Skylar Fritz","Wisc.-Whitewater","Var","787","5","157.4"
"24","Kylee Noack","Wisc.-Eau Claire","Var","784","5","156.8"
"25","Grace Lehmann","Wisc.-Whitewater","Var","780","5","156"
"26","Brianna Clemons","Marian University (WI)","Var","778","4","194.5"
"27","Lillian Morin","College of Lake County","Var","777","5","155.4"
"28","Savana Larsen","Wisc.-Whitewater","Var","770","5","154"
"29","Alyssa Schertz","Wisc.-Oshkosh","Var","761","5","152.2"
"30","Melanie Engelking","College of Lake County","Var","741","5","148.2"
"31","Cierra Bollinger","Viterbo University","Var","737","5","147.4"
"32","Fallon Perry","Rockford University","Var","736","5","147.2"
"32","Savanna Lehman","College of Lake County","Var","736","5","147.2"
"34","Anika Jain","Iowa ,University Of","Var","731","5","146.2"
"35","Kaitlyn Kesler","Marian University (WI)","Var","722","4","180.5"
"36","Janiah Alphonse","Rockford University","Var","719","5","143.8"
"37","Chloe Andersen","Marian University (WI)","JV1","712","4","178"
"38","Neelah Vandeberg","Rockford University","Var","707","5","141.4"
"39","Mia Torres","Wisc.-Oshkosh","Var","706","5","141.2"
"40","Rebecca Hunter","Wisc.-Eau Claire","Var","666","5","133.2"
"41","Shaelyn Kempainen","Wisc.-Oshkosh","Var","645","5","129"
"42","Sierra Voss","Wisc.-Eau Claire","Var","624","5","124.8"
"43","Kylie Sullivan","Marian University (WI)","JV1","569","4","142.25"
"44","Nichelle Hunt","Rockford University","Var","549","5","109.8"
"45","Katie Bialke","Marian University (WI)","Var","536","3","178.667"
"46","Iizabella Nievez","College of Lake County","Var","501","5","100.2"
"47","Kylie Junak","Marian University (WI)","Var","400","2","200"
"48","Madison Carriveau","Marian University (WI)","Var","361","2","180.5"
"49","Morgan Hietpas","Marian University (WI)","JV1","293","2","146.5"
