"No","Name","School","Tm","Total","Gm","Avg"
"1","Brooke Bandli","Wisc.-Eau Claire","Var","1010","5","202"
"2","Lauren Funk","Wartburg College","Var","988","5","197.6"
"3","Emily Newbauer","Viterbo University","Var","982","5","196.4"
"4","Alondra Chavez","Wisc.-Madison","Var","943","5","188.6"
"5","Juliana Bergman","Wisc.-Madison","Var","916","5","183.2"
"6","Beverly Bloch","Wisc.-Madison","Var","901","5","180.2"
"7","JoAnna Olstad","Wartburg College","Var","891","5","178.2"
"8","Alyssa Newbauer","Viterbo University","Var","882","5","176.4"
"9","Madison Shontz","Wartburg College","Var","878","5","175.6"
"10","Abby Hume","Wartburg College","Var","875","5","175"
"11","Samantha Brown","Wisc.-Eau Claire","Var","870","5","174"
"12","Stephanie Lo","Wisc.-Madison","Var","833","5","166.6"
"13","Ashley Kozel","Wisc.-Oshkosh","Var","827","5","165.4"
"14","Nyla Duzon","Wisc.-Madison","Var","814","5","162.8"
"15","Marissa Leisinger","Wartburg College","Var","812","5","162.4"
"16","Courtney Keller","Viterbo University","Var","811","5","162.2"
"17","Kylee Noack","Wisc.-Eau Claire","Var","805","5","161"
"18","Mia Torres","Wisc.-Oshkosh","Var","782","5","156.4"
"19","Theadosia Laffin","Viterbo University","Var","780","5","156"
"20","Shaelyn Kempainen","Wisc.-Oshkosh","Var","763","5","152.6"
"21","Cierra Bollinger","Viterbo University","Var","751","5","150.2"
"22","Rebecca Hunter","Wisc.-Eau Claire","Var","708","5","141.6"
"23","Sierra Voss","Wisc.-Eau Claire","Var","688","5","137.6"
