"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Marian University (WI)","4374","2636","8.2","854.878","0"
"2","Viterbo University","4188","2515","8.2","817.439","-307"
"3","Wisc.-Madison","3908","2635","8.2","797.927","-467"
"4","Wisc.-Whitewater","3998","2401","8.2","780.366","-611"
"5","Wisc.-Oshkosh","3759","2270","8.2","735.244","-981"
"6","Rockford University","3759","2262","8.2","734.268","-989"
"7","Wisc.-Eau Claire","3644","2171","8.2","709.146","-1195"
"8","Rock Valley College","3278","1919","7.2","721.806","-1813"
"9","Iowa ,University Of","3140","1999","8.2","626.707","-1871"
"10","College of Lake County","2757","1613","7.2","606.944","-2640"
