"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Wisc.-Whitewater","4438","2825","8.2","885.732","0"
"2","Rockford University","4100","2718","8.2","831.463","-445"
"3","Viterbo University","4029","2774","8.2","829.634","-460"
"4","Marian University (WI)","4111","2531","8.2","810","-621"
"5","Wisc.-Eau Claire","3817","2360","8.2","753.293","-1086"
"6","Wisc.-Madison","3421","2095","7.2","766.111","-1747"
"7","Wisc.-Oshkosh","3071","1978","7.2","701.25","-2214"
"8","College of Lake County","2998","1846","7.2","672.778","-2419"
"9","Rock Valley College","2389","1395","6.2","610.323","-3479"
"10","Iowa ,University Of","1370","339","5.2","328.654","-5554"
