"No","Team Name","Team","Baker","Games","Avg","Diff"
"1","Marian University (WI)","4777","2906","8.2","936.951","0"
"2","Viterbo University","4340","2760","8.2","865.854","-583"
"3","Wisc.-Whitewater","4119","2754","8.2","838.171","-810"
"4","Wisc.-Eau Claire","3909","2630","8.2","797.439","-1144"
"5","Rockford University","3570","2580","8.2","750","-1533"
"6","College of Lake County","3626","2378","8.2","732.195","-1679"
"7","Wisc.-Madison","3549","1938","7.2","762.083","-2196"
"8","Wisc.-Oshkosh","2901","1783","7.2","650.556","-2999"
"9","Rock Valley College","1809","970","5.2","534.423","-4904"
"10","Iowa ,University Of","731","382","4.2","265","-6570"
